114,1272608004,BAK WIESEN.SCHLOSSBR.HABA.750G,4314131001871
118,2285827002,MBK LAUGENSTANGE,4314131079108
120,2723619000,BAK JAGDBROETCHEN 80G,4314131001468
122,2723718006,BAK DONAUWELLE 130G,4314131006791
123,2723757001,BAK ZITRON.-SAHNE-ROULADE 150G,4314131007507
129,2725156000,BAK CIABATTA BROETCHE.HGB.112G,4314131001987
132,2727019008,MBK VESPERWECK. M.FLEISCHKAESE,178168
136,3232628006,MBK KOERNERBROETCH.SALAMI 100G,4314131076558
137,3232630009,MBK KOERNERBROET.SCHINKEN 100G,4314131076541
140,3451030004,BAK LAUGENBREZEL,4314131001529
145,3489689005,BAK CHIA-BROETCHEN,4314131000874
146,3505598001,BAK SCHOKOHEFEMAUS 110G,4314131045035
149,3526443009,BAK KRANZ N.FRANKF.ART 139G,4314131019920
157,4301233000,BIO BAK DINKELBROT 500G,4314131012952
183,2723720009,BAK BIENENSTICH 16ST 150G,4314131006852
191,2726372003,MBK PIZZA SALAMI-PAPRIKA BV,166365
192,2726391004,MBK PIZZA TRICOLORE BV,166368
202,3232450005,MBK BROET./KNUSPERW.SALAMI 90G,4314131076572
204,3464290000,MBK LAUGENBROETCHEN KAESE 100G,4314131071492
212,3586408008,BAK GRUENDERBROT 750G,4314131002960
214,3765903009,BAK NUSSCREMETORTE 106G,4314131016134
216,3877885004,BAK SESAMBROETCHEN 60G,4314131001031
217,3913616005,BAK BROET./KNUSPERWECK GEB.57G,4314131003714
219,3948552008,BAK ZWETSCHGENSCHNITTE 150G,4314131014680
223,4268187002,BIO BAK BIOLAND VITALBROT 500G,4314131012938
234,4402556002,BAK URKULTURKORN BROT 750G,4314131012983
240,8111164,MBK VESPERBROTGEMUESEVARIATION,25009743
241,8112068,MBK VESPERBR. GEMUESEVAR. HALB,25010633
244,284239002,BAK CIABATTA 250G,4314131001970
245,625862003,BAK KURPFAELZER KORNBROT 750G,4314131003592
246,629726000,BAK EINBACK 85G,4314131005107
255,2721190008,BAK KOSAKENBROT OHNE HEFE 600G,4314131002144
257,2723682008,BAK BERLINER 74G,4314131006012
264,2725321002,BAK KAESESAHNETORTE 137G,4314131008498
285,3489740009,BAK ROGGEN PUR 600G,4314131002977
289,3656087003,BAK JOHANNISB-BAISER-KUCH 163G,4314131016387
297,4248360001,BAK ZUPFKUCHEN-SCHNITTE 195G,4314131016165
317,284210001,BAK MARMORKUCHEN 550G,4314131007309
319,700136001,BAK SIZILIAN.ZITRONENKUCH.400G,4314131007323
327,2723973001,BAK WIESENT.SCHLOSSBROT 750G,4314131003479
328,2725010005,BAK NUSSI 500G,4314131007286
333,2726983007,MBK LAUGENSTANGEN MIT BUTTER,166273
334,2727042008,MBK BUTTERCROISSANT M. KUERBIS,166405
337,3232448002,MBK VESPER.SCHINK.U.KAESE 125G,4314131062469
343,3489687009,BAK ROGGENMISCHBR.TGL 2.T.,4314131000584
350,4268159007,BIO BAK SCHROT-U.KORNBROT 500G,4314131012914
352,4268826000,BAK VOLLKORN-DINKELBROT 500G,4314131012860
